id;start_date;end_date;language
1;2021-09-15T07:16:49;2021-09-15T05:07:04;ENGLISH
2;2021-09-14T16:44:24;2021-09-15T02:09:53;FRENCH
3;2021-09-15T02:40:36;2021-09-14T14:45:44;SPANISH
4;2021-09-15T07:11:25;2021-09-14T12:37:44;FRENCH
5;2021-09-15T09:27:48;2021-09-14T17:46:46;ENGLISH
6;2021-09-14T18:58:31;2021-09-15T08:58:51;SPANISH
7;2021-09-15T03:02:19;2021-09-14T13:36:28;FRENCH
8;2021-09-14T17:28:12;2021-09-14T14:04:01;FRENCH
9;2021-09-14T18:19:50;2021-09-15T05:51:16;FRENCH
10;2021-09-14T14:16:48;2021-09-15T07:14:17;FRENCH
